year, mo,    data_type, region, extent,   area
1979,  7,      Goddard,      N,  10.52,   6.61
1980,  7,      Goddard,      N,  10.43,   6.46
1981,  7,      Goddard,      N,  10.67,   6.25
1982,  7,      Goddard,      N,  10.81,   6.82
1983,  7,      Goddard,      N,  10.95,   6.81
1984,  7,      Goddard,      N,  10.22,   6.22
1985,  7,      Goddard,      N,  10.16,   5.91
1986,  7,      Goddard,      N,  10.50,   6.55
1987,  7,      Goddard,      N,  10.81,   6.49
1988,  7,      Goddard,      N,  10.12,   6.95
1989,  7,      Goddard,      N,  10.47,   7.27
1990,  7,      Goddard,      N,   9.68,   6.47
1991,  7,      Goddard,      N,   9.76,   6.69
1992,  7,      Goddard,      N,  10.70,   7.18
1993,  7,      Goddard,      N,   9.74,   6.20
1994,  7,      Goddard,      N,  10.30,   6.88
1995,  7,      Goddard,      N,   9.23,   6.08
1996,  7,      Goddard,      N,  10.46,   7.39
1997,  7,      Goddard,      N,   9.66,   6.44
1998,  7,      Goddard,      N,   9.67,   6.40
1999,  7,      Goddard,      N,   9.65,   6.51
2000,  7,      Goddard,      N,   9.81,   6.33
2001,  7,      Goddard,      N,   9.28,   6.24
2002,  7,      Goddard,      N,   9.58,   6.37
2003,  7,      Goddard,      N,   9.53,   6.09
2004,  7,      Goddard,      N,   9.65,   6.45
2005,  7,      Goddard,      N,   8.99,   5.84
2006,  7,      Goddard,      N,   8.74,   5.73
2007,  7,      Goddard,      N,   8.19,   5.05
2008,  7,      Goddard,      N,   9.01,   6.00
2009,  7,      Goddard,      N,   8.84,   6.04
2010,  7,      Goddard,      N,   8.38,   5.52
2011,  7,      Goddard,      N,   7.94,   5.30
2012,  7,      Goddard,      N,   7.96,   5.02
2013,  7,      Goddard,      N,   8.45,   5.73
2014,  7,      Goddard,      N,   8.28,   5.89
2015,  7,      Goddard,      N,   8.83,   5.58
2016,  7,      NRTSI-G,      N,   8.13,   5.24
