year, mo,    data_type, region, extent,   area
1979,  7,      Goddard,      S,  16.83,  13.17
1980,  7,      Goddard,      S,  16.09,  12.09
1981,  7,      Goddard,      S,  16.48,  12.69
1982,  7,      Goddard,      S,  16.27,  12.39
1983,  7,      Goddard,      S,  15.95,  12.28
1984,  7,      Goddard,      S,  16.78,  13.30
1985,  7,      Goddard,      S,  16.10,  12.40
1986,  7,      Goddard,      S,  15.83,  12.01
1987,  7,      Goddard,      S,  16.19,  12.41
1988,  7,      Goddard,      S,  16.36,  12.55
1989,  7,      Goddard,      S,  16.19,  12.52
1990,  7,      Goddard,      S,  16.09,  12.20
1991,  7,      Goddard,      S,  16.26,  12.15
1992,  7,      Goddard,      S,  16.61,  12.52
1993,  7,      Goddard,      S,  16.47,  12.66
1994,  7,      Goddard,      S,  16.86,  13.06
1995,  7,      Goddard,      S,  16.25,  12.47
1996,  7,      Goddard,      S,  16.64,  12.82
1997,  7,      Goddard,      S,  16.46,  12.69
1998,  7,      Goddard,      S,  16.42,  12.59
1999,  7,      Goddard,      S,  16.81,  13.00
2000,  7,      Goddard,      S,  16.80,  12.92
2001,  7,      Goddard,      S,  16.24,  12.52
2002,  7,      Goddard,      S,  15.98,  12.45
2003,  7,      Goddard,      S,  16.90,  13.10
2004,  7,      Goddard,      S,  16.79,  13.09
2005,  7,      Goddard,      S,  16.72,  12.66
2006,  7,      Goddard,      S,  16.67,  12.81
2007,  7,      Goddard,      S,  16.55,  12.55
2008,  7,      Goddard,      S,  16.58,  12.86
2009,  7,      Goddard,      S,  16.69,  13.02
2010,  7,      Goddard,      S,  17.22,  13.68
2011,  7,      Goddard,      S,  16.34,  12.26
2012,  7,      Goddard,      S,  16.78,  13.24
2013,  7,      Goddard,      S,  17.18,  13.66
2014,  7,      Goddard,      S,  17.45,  13.87
2015,  7,      Goddard,      S,  17.11,  13.38
2016,  7,      NRTSI-G,      S,  16.50,  12.45
